name	2016-05-20	2016-05-21	2016-05-22	2016-05-23	2016-05-24	2016-05-25	2016-05-26	2016-05-27	2016-05-28	2016-05-29	2016-05-30	2016-05-31	2016-06-01	2016-06-02	2016-06-03	2016-06-04	2016-06-05	2016-06-06	2016-06-07	2016-06-08	2016-06-09	2016-06-10	2016-06-11	2016-06-12	2016-06-13	2016-06-14
欢乐颂	169993	210306	175756	110650	97062	92881	90449	96999	111756	103460	71660	72478	70985	70718	75612	85989	87353	71117	69307	74114	83456	81302	80480	72357	61246	59987
那年青春我们正好	122194	138999	178222	115468	106876	115006	111893	91064	90480	87567	71366	78551	69007	36080	36506	50278	48161	34874	29423	30791	31492	27021	24133	19057	15592	14609
极限挑战第二季	94034	138201	167057	341250	126090	80025	59823	66148	96674	122452	149085	57787	53198	48408	53090	77807	106271	137848	56723	64575	69019	58939	68232	85230	162516	50379
美人鱼	82341	111594	99793	43612	41432	39642	41191	61286	107265	78627	35419	35395	41137	36695	52397	81542	74224	46644	43269	62981	97082	83119	65046	40210	33846	33301
疯狂动物城	67322	89592	102008	49218	43826	44877	38150	49542	61860	47701	24247	26747	25411	21672	27871	36920	41909	26916	24924	31525	40772	34533	28032	21438	15610	15372
最好的我们	64424	102491	91799	48820	44215	43987	44190	67652	104749	93804	47326	46560	43417	42152	60992	92285	95184	65190	59486	71648	82883	82198	95979	81297	61444	59753
美国队长3：内战	59360	84781	60887	31211	28217	26146	26313	37559	52632	35878	18842	17670	18118	16257	22652	31028	32696	26919	20359	21668	32595	25576	19206	12153	12319	12292
我的奇妙男友	53856	67405	57864	35979	32936	30219	29126	34715	40800	35514	20653	20513	25105	37495	45972	39999	34083	22613	20187	24345	26884	21255	17452	13468	10783	11001
戏子	48874	47614	33665	17378	16955	23128	25160	24304	16436	12304	7539	14352	19566	29754	20947	13975	11269	7799	12906	20119	35839	45804	34701	16017	8541	12740
小丈夫 未删减版	6395	7682	7357	7712	6951	3484	4861	4390	3269	3072	2290	2104	6068	5616	5327	5329	5739	4028	3912	4000	3803	3233	3091	2860	2383	2064
谁的青春不迷茫	43656	64590	50340	23566	25472	86356	108404	122783	145491	131970	57583	56012	50366	51931	69228	88041	86579	61447	56214	70745	80901	66194	52122	38720	32453	31646
奔跑吧兄弟第四季	42918	161977	74085	34825	25634	21660	24468	49349	172132	84289	35468	30569	29551	26445	36610	117524	70448	39574	31918	36714	46533	48583	113469	49418	33814	29006
小丈夫	41662	54498	44328	39689	38948	21998	17982	18849	16891	13319	8419	8138	7902	7543	7791	8001	7839	5951	5792	5780	5801	5622	5283	4259	3696	3382
奔跑吧兄弟第4季	41397	126222	86468	33718	23960	20068	17263	28739	124987	52496	19429	15596	13397	11306	17472	79392	41563	19113	16673	17834	22409	24353	80529	30537	18631	15087
鸭王	40783	57646	44502	25566	25164	24984	21248	25446	30884	24202	15506	15906	16096	16298	21218	26404	25139	19834	19529	23079	26607	25561	22048	18407	15642	15976
功夫熊猫3	40623	58615	44542	20874	17847	14840	15163	21103	31862	23652	10892	10993	12081	9827	13435	19973	18566	12295	11885	15152	20840	18898	15215	9920	8743	8669
周星驰	40522	53997	52296	36204	37693	38334	35640	39503	46700	45170	34016	33722	31854	33056	34962	40723	42265	35215	34364	38990	45570	43005	38532	31700	28757	29806
十五年等待候鸟	38787	56073	49455	29643	26732	27042	25929	27120	34407	29077	16699	17283	17593	17391	20874	27108	27573	20464	20032	23739	29535	28242	26058	20882	18151	17690
美国队长	38371	57176	41939	22061	19959	18945	19963	26613	36643	27219	13618	13451	13269	12641	16895	24317	23739	17784	16289	20725	23999	20064	15941	12575	10472	9702
火星情报局 2016	3232	3617	26795	1938	1710	12128	1895	3219	3373	12476	1604	2084	1957	1696	2872	3434	2825	1981	1933	11151	12269	3594	5147	2616	2061	1961
快乐大本营	33928	77817	315983	38736	22092	19013	23655	26291	60905	225522	23711	18488	27030	24405	25438	38151	73263	18076	14275	19021	20834	19333	31614	130079	22803	20282
终极游侠	30717	29537	24731	16638	14523	14174	17797	22158	23207	20829	14935	14245	14102	13897	14800	14329	12636	10363	9899	10484	10906	11086	16420	14445	11256	9677
非凡搭档	30100	43926	29889	18016	14928	14381	12983	16187	35508	14661	10387	9999	9888	9279	12995	23092	9696	9409	9060	9343	10176	14117	30533	12212	10597	8972
极限挑战	29696	41670	50538	102477	40648	27523	23488	21434	24949	30778	39058	18114	15482	15008	16043	19315	24633	34272	18080	18790	19511	17253	17362	20139	38339	16133
澳门风云3	29173	40355	31917	17864	16731	16659	16955	21798	31200	24424	13768	12517	16170	15772	20096	24331	37224	17448	13650	14808	18090	14360	10971	7886	6399	6109
小丈夫 TV版	2361	29354	3065	3105	13894	4351	2334	2376																		
